english_command,korean_command,intent,target_type,attribute,spatial_relation,spatial_reference,position,jsonl,split
delete green button next to the notifications,알림 옆에 녹색 버튼 삭제,delete,button,green,next_to,notifications,NONE,"{""text"": ""delete green button next to the notifications"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""green"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",test
scroll to green text,스크롤하여 녹색 텍스트 이동,scroll,text,green,NONE,NONE,NONE,"{""text"": ""scroll to green text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
open the 2nd icon to the left of the payment,결제 왼쪽에 2번째 아이콘 열기,open,icon,NONE,left_of,payment,2nd,"{""text"": ""open the 2nd icon to the left of the payment"", ""labels"": {""intent"": ""open"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""payment"", ""position"": ""2nd""}}",test
tap tab to the right of the home,홈 오른쪽에 탭 탭,tap,tab,NONE,right_of,home,NONE,"{""text"": ""tap tab to the right of the home"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
copy text to the right of the first email,첫 번째 이메일 오른쪽에 텍스트 복사,copy,text,NONE,right_of,first email,NONE,"{""text"": ""copy text to the right of the first email"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
scroll down to menu,아래로 스크롤하여 메뉴 이동,scroll,menu,NONE,NONE,NONE,NONE,"{""text"": ""scroll down to menu"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
long-press text below the wi-fi,Wi-Fi 아래에 텍스트 long-press,long-press,text,NONE,below,wi-fi,NONE,"{""text"": ""long-press text below the wi-fi"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",test
tap checkbox above the login,로그인 위에 체크박스 탭,tap,checkbox,NONE,above,login,NONE,"{""text"": ""tap checkbox above the login"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
click on image,이미지 클릭,click,image,NONE,NONE,NONE,NONE,"{""text"": ""click on image"", ""labels"": {""intent"": ""click"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
scroll down to menu below the address,주소 아래에 아래로 스크롤하여 메뉴 이동,scroll,menu,NONE,below,address,NONE,"{""text"": ""scroll down to menu below the address"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
copy text,텍스트 복사,copy,text,NONE,NONE,NONE,NONE,"{""text"": ""copy text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
tap on purple button to the left of the payment,결제 왼쪽에 보라색 버튼 탭,tap,button,purple,left_of,payment,NONE,"{""text"": ""tap on purple button to the left of the payment"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""purple"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",test
tap button to the left of the address,주소 왼쪽에 버튼 탭,tap,button,NONE,left_of,address,NONE,"{""text"": ""tap button to the left of the address"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",test
scroll down to the last yellow text to the right of the cart,장바구니 오른쪽에 아래로 스크롤하여 마지막 노란색 텍스트 이동,scroll,text,yellow,right_of,cart,last,"{""text"": ""scroll down to the last yellow text to the right of the cart"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""cart"", ""position"": ""last""}}",train
launch link below the search,검색 아래에 링크 실행,open,link,NONE,below,search,NONE,"{""text"": ""launch link below the search"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",test
scroll down to text above the last item,마지막 항목 위에 아래로 스크롤하여 텍스트 이동,scroll,text,NONE,above,last item,NONE,"{""text"": ""scroll down to text above the last item"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
scroll down to red menu,아래로 스크롤하여 빨간색 메뉴 이동,scroll,menu,red,NONE,NONE,NONE,"{""text"": ""scroll down to red menu"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""red"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
open the 2nd tab,2번째 탭 열기,open,tab,NONE,NONE,NONE,2nd,"{""text"": ""open the 2nd tab"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""2nd""}}",test
open gray button to the left of the payment,결제 왼쪽에 회색 버튼 열기,open,button,gray,left_of,payment,NONE,"{""text"": ""open gray button to the left of the payment"", ""labels"": {""intent"": ""open"", ""target_type"": ""button"", ""attribute"": ""gray"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
paste text,텍스트 붙여넣기,paste,text,NONE,NONE,NONE,NONE,"{""text"": ""paste text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
click on purple checkbox next to the home,홈 옆에 보라색 체크박스 클릭,click,checkbox,purple,next_to,home,NONE,"{""text"": ""click on purple checkbox next to the home"", ""labels"": {""intent"": ""click"", ""target_type"": ""checkbox"", ""attribute"": ""purple"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
copy the 3rd text above the last item,마지막 항목 위에 3번째 텍스트 복사,copy,text,NONE,above,last item,3rd,"{""text"": ""copy the 3rd text above the last item"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""last item"", ""position"": ""3rd""}}",test
press tab above the home,홈 위에 탭 press,click,tab,NONE,above,home,NONE,"{""text"": ""press tab above the home"", ""labels"": {""intent"": ""click"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
copy text,텍스트 복사,copy,text,NONE,NONE,NONE,NONE,"{""text"": ""copy text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
open tab next to the cart,장바구니 옆에 탭 열기,open,tab,NONE,next_to,cart,NONE,"{""text"": ""open tab next to the cart"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",test
paste text below the home,홈 아래에 텍스트 붙여넣기,paste,text,NONE,below,home,NONE,"{""text"": ""paste text below the home"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",val
remove image,이미지 삭제,delete,image,NONE,NONE,NONE,NONE,"{""text"": ""remove image"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",val
scroll down to gray text above the search,검색 위에 아래로 스크롤하여 회색 텍스트 이동,scroll,text,gray,above,search,NONE,"{""text"": ""scroll down to gray text above the search"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""above"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",test
paste the last black text above the first email,첫 번째 이메일 위에 마지막 검정색 텍스트 붙여넣기,paste,text,black,above,first email,last,"{""text"": ""paste the last black text above the first email"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""black"", ""spatial_relation"": ""above"", ""spatial_reference"": ""first email"", ""position"": ""last""}}",test
paste text,텍스트 붙여넣기,paste,text,NONE,NONE,NONE,NONE,"{""text"": ""paste text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy the 2nd text below the menu,메뉴 아래에 2번째 텍스트 복사,copy,text,NONE,below,menu,2nd,"{""text"": ""copy the 2nd text below the menu"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""menu"", ""position"": ""2nd""}}",val
scroll to list beneath the home,home 하단에  menu,scroll,menu,NONE,below,home,NONE,"{""text"": ""scroll to list beneath the home"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
copy text,텍스트 복사,copy,text,NONE,NONE,NONE,NONE,"{""text"": ""copy text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy gray text to the left of the wi-fi,Wi-Fi 왼쪽에 회색 텍스트 복사,copy,text,gray,left_of,wi-fi,NONE,"{""text"": ""copy gray text to the left of the wi-fi"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
press and hold text to the right of the cart,장바구니 오른쪽에 텍스트 길게 누르기,long-press,text,NONE,right_of,cart,NONE,"{""text"": ""press and hold text to the right of the cart"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
tap on the 3rd tab next to the search,검색 옆에 3번째 탭 탭,tap,tab,NONE,next_to,search,3rd,"{""text"": ""tap on the 3rd tab next to the search"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""search"", ""position"": ""3rd""}}",train
tap on the 1st checkbox to the left of the login,로그인 왼쪽에 1번째 체크박스 탭,tap,checkbox,NONE,left_of,login,1st,"{""text"": ""tap on the 1st checkbox to the left of the login"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""login"", ""position"": ""1st""}}",train
press link next to the search,검색 옆에 링크 press,click,link,NONE,next_to,search,NONE,"{""text"": ""press link next to the search"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",test
tap on hyperlink left of the profile,프로필 좌측에 링크 선택,click,link,NONE,left_of,profile,NONE,"{""text"": ""tap on hyperlink left of the profile"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",test
open pink tab above the last item,마지막 항목 위에 분홍색 탭 열기,open,tab,pink,above,last item,NONE,"{""text"": ""open pink tab above the last item"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""pink"", ""spatial_relation"": ""above"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
delete purple button,보라색 버튼 삭제,delete,button,purple,NONE,NONE,NONE,"{""text"": ""delete purple button"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""purple"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy the 3rd white text above the menu,메뉴 위에 3번째 흰색 텍스트 복사,copy,text,white,above,menu,3rd,"{""text"": ""copy the 3rd white text above the menu"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""white"", ""spatial_relation"": ""above"", ""spatial_reference"": ""menu"", ""position"": ""3rd""}}",test
paste the 2nd text below the notifications,알림 아래에 2번째 텍스트 붙여넣기,paste,text,NONE,below,notifications,2nd,"{""text"": ""paste the 2nd text below the notifications"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""notifications"", ""position"": ""2nd""}}",test
long-press blue image next to the search,검색 옆에 파란색 이미지 long-press,long-press,image,blue,next_to,search,NONE,"{""text"": ""long-press blue image next to the search"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""blue"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
copy yellow text next to the first email,첫 번째 이메일 옆에 노란색 텍스트 복사,copy,text,yellow,next_to,first email,NONE,"{""text"": ""copy yellow text next to the first email"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",test
tap red tab above the settings,설정 위에 빨간색 탭 탭,tap,tab,red,above,settings,NONE,"{""text"": ""tap red tab above the settings"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""red"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",test
open the 3rd white button,3번째 흰색 버튼 열기,open,button,white,NONE,NONE,3rd,"{""text"": ""open the 3rd white button"", ""labels"": {""intent"": ""open"", ""target_type"": ""button"", ""attribute"": ""white"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
paste the last orange text next to the address,주소 옆에 마지막 주황색 텍스트 붙여넣기,paste,text,orange,next_to,address,last,"{""text"": ""paste the last orange text next to the address"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""orange"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""address"", ""position"": ""last""}}",train
duplicate gray label on top of the login,로그인 상단에 회색 텍스트 복사,copy,text,gray,above,login,NONE,"{""text"": ""duplicate gray label on top of the login"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""above"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",val
scroll down to the last yellow tab,아래로 스크롤하여 마지막 노란색 탭 이동,scroll,tab,yellow,NONE,NONE,last,"{""text"": ""scroll down to the last yellow tab"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""yellow"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",train
copy text to the right of the first email,첫 번째 이메일 오른쪽에 텍스트 복사,copy,text,NONE,right_of,first email,NONE,"{""text"": ""copy text to the right of the first email"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
tap white link to the right of the notifications,알림 오른쪽에 흰색 링크 탭,tap,link,white,right_of,notifications,NONE,"{""text"": ""tap white link to the right of the notifications"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""white"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
click purple text above the cart,장바구니 위에 보라색 텍스트 클릭,click,text,purple,above,cart,NONE,"{""text"": ""click purple text above the cart"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""purple"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
launch the last menu next to the address,주소 옆에 마지막 메뉴 실행,open,menu,NONE,next_to,address,last,"{""text"": ""launch the last menu next to the address"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""address"", ""position"": ""last""}}",train
delete photo under the checkout,결제 하단에 이미지 삭제,delete,image,NONE,below,checkout,NONE,"{""text"": ""delete photo under the checkout"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",test
copy purple text next to the checkout,결제 옆에 보라색 텍스트 복사,copy,text,purple,next_to,checkout,NONE,"{""text"": ""copy purple text next to the checkout"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""purple"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
paste red text,빨간색 텍스트 붙여넣기,paste,text,red,NONE,NONE,NONE,"{""text"": ""paste red text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy text to the left of the address,address 좌측에  text,copy,text,NONE,left_of,address,NONE,"{""text"": ""copy text to the left of the address"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
trash text to the right of the search,검색 오른쪽에 텍스트 삭제,delete,text,NONE,right_of,search,NONE,"{""text"": ""trash text to the right of the search"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
select switch above the help,도움말 위에 스위치 선택,click,switch,NONE,above,help,NONE,"{""text"": ""select switch above the help"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
click on link below the settings,설정 아래에 링크 클릭,click,link,NONE,below,settings,NONE,"{""text"": ""click on link below the settings"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
paste red text next to the wi-fi,Wi-Fi 옆에 빨간색 텍스트 붙여넣기,paste,text,red,next_to,wi-fi,NONE,"{""text"": ""paste red text next to the wi-fi"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
navigate to label on top of the checkout,결제 상단에 스크롤하여 텍스트 이동,scroll,text,NONE,above,checkout,NONE,"{""text"": ""navigate to label on top of the checkout"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
click text below the notifications,알림 아래에 텍스트 클릭,click,text,NONE,below,notifications,NONE,"{""text"": ""click text below the notifications"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",test
copy pink text below the menu,메뉴 아래에 분홍색 텍스트 복사,copy,text,pink,below,menu,NONE,"{""text"": ""copy pink text below the menu"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""below"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",train
long-press icon next to the notifications,알림 옆에 아이콘 long-press,long-press,icon,NONE,next_to,notifications,NONE,"{""text"": ""long-press icon next to the notifications"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
press graphic on the left side of the first email,first email 왼편에  image,click,image,NONE,left_of,first email,NONE,"{""text"": ""press graphic on the left side of the first email"", ""labels"": {""intent"": ""click"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
place text field over the login,login 상단에  text,paste,text,NONE,above,login,NONE,"{""text"": ""place text field over the login"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
copy yellow text next to the login,로그인 옆에 노란색 텍스트 복사,copy,text,yellow,next_to,login,NONE,"{""text"": ""copy yellow text next to the login"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",val
copy text to the left of the menu,menu 좌측에  text,copy,text,NONE,left_of,menu,NONE,"{""text"": ""copy text to the left of the menu"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",test
scroll to orange tab below the login,로그인 아래에 스크롤하여 주황색 탭 이동,scroll,tab,orange,below,login,NONE,"{""text"": ""scroll to orange tab below the login"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""orange"", ""spatial_relation"": ""below"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
copy the 3rd text above the help,도움말 위에 3번째 텍스트 복사,copy,text,NONE,above,help,3rd,"{""text"": ""copy the 3rd text above the help"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""help"", ""position"": ""3rd""}}",train
paste yellow text below the login,로그인 아래에 노란색 텍스트 붙여넣기,paste,text,yellow,below,login,NONE,"{""text"": ""paste yellow text below the login"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""below"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
launch icon,아이콘 실행,open,icon,NONE,NONE,NONE,NONE,"{""text"": ""launch icon"", ""labels"": {""intent"": ""open"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",val
paste text,텍스트 붙여넣기,paste,text,NONE,NONE,NONE,NONE,"{""text"": ""paste text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
paste the 3rd gray text above the payment,결제 위에 3번째 회색 텍스트 붙여넣기,paste,text,gray,above,payment,3rd,"{""text"": ""paste the 3rd gray text above the payment"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""above"", ""spatial_reference"": ""payment"", ""position"": ""3rd""}}",train
tap on link below the settings,설정 아래에 링크 탭,tap,link,NONE,below,settings,NONE,"{""text"": ""tap on link below the settings"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
click on switch to the right of the settings,설정 오른쪽에 스위치 클릭,click,switch,NONE,right_of,settings,NONE,"{""text"": ""click on switch to the right of the settings"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
press first link on the left side of the address,address 왼편에  link,click,link,NONE,left_of,address,1st,"{""text"": ""press first link on the left side of the address"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""1st""}}",train
tap on link to the left of the notifications,알림 왼쪽에 링크 탭,tap,link,NONE,left_of,notifications,NONE,"{""text"": ""tap on link to the left of the notifications"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
paste text next to the last item,마지막 항목 옆에 텍스트 붙여넣기,paste,text,NONE,next_to,last item,NONE,"{""text"": ""paste text next to the last item"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",test
launch menu below the profile,프로필 아래에 메뉴 실행,open,menu,NONE,below,profile,NONE,"{""text"": ""launch menu below the profile"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",test
long-press label on top of the profile,프로필 상단에 텍스트 길게 누르기,long-press,text,NONE,above,profile,NONE,"{""text"": ""long-press label on top of the profile"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",test
scroll down to menu to the left of the first email,첫 번째 이메일 왼쪽에 아래로 스크롤하여 메뉴 이동,scroll,menu,NONE,left_of,first email,NONE,"{""text"": ""scroll down to menu to the left of the first email"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
access btn on top of the payment,결제 상단에 버튼 실행,open,button,NONE,above,payment,NONE,"{""text"": ""access btn on top of the payment"", ""labels"": {""intent"": ""open"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
trash black image to the right of the checkout,결제 오른쪽에 검정색 이미지 삭제,delete,image,black,right_of,checkout,NONE,"{""text"": ""trash black image to the right of the checkout"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""black"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
remove gray button below the profile,프로필 아래에 회색 버튼 삭제,delete,button,gray,below,profile,NONE,"{""text"": ""remove gray button below the profile"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""gray"", ""spatial_relation"": ""below"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",test
