command,intent,target,attribute,label,index,relation,reference
maybe please submit camera,submit,camera,,back,23,center,
삭제 progress_bar,delete,progress_bar,,home,,center,
chnck on popup,check,popup,danger,phone,85,left,
just close the image,close,image,secondary,email,81,after,
submi7 the file,submit,file,,retry,,inside,message field
like delete notification,delete,notification,small,alert,72,bottom_left,video player
lo5g_press dropdown,long_press,dropdown,light,logout,2,bottom_right,
actually delete radio_button,delete,radio_button,focused,,,after,audio player
close the text,close,text,,,46,bottom_left,
uh leaf gallery,delete,gallery,strikethrough,,,bottom_right,download button
maybe drag on image,drag,image,small,,51,bottom_right,cart icon
check the password,check,password,warning,submit,68,left,sidebar menu
지우세요 아이콘,delete,icon,info,,74,center,
deleet popup,delete,popup,active,edit,15,before,
login slader,login,slider,,,75,second,popup
please de leaf menu,delete,menu,light,confirm,,after,save button
please login phone_number,login,phone_number,success,,8,bottom_right,
check zhe nile,check,file,,loading,,outside,table view
please accept tab,accept,tab,focused,,90,farthest,
clo5e the m3nu,close,menu,active,,,left,
loig_press the audio,long_press,audio,,,7,behind,
login tae document,login,document,large,,51,first_column,header
like delete password,delete,password,,,51,under,save button
check the progress_bar,check,progress_bar,bold,settings,,first_row,
like submit card,submit,card,,back,,lower_center,
unpin the popup,unpin,popup,underlined,,8,first_column,
summit searqh_box,submit,search_box,,import,2,first_column,
delete on graph,delete,graph,strikethrough,,,left_edge,
drag the chart,drag,chart,bold,,,bottom_left,
maybe launch tab,launch,tab,collapsed,,,behind,modal
login switch,login,switch,,,,right_edge,
1rag tfe phone_number,drag,phone_number,,,,second_row,
please launch link,launch,link,italic,download,47,above,
drag icon,drag,icon,,empty,44,before,password field
accept tab,accept,tab,,,,farthest,
check the 4hart,check,chart,red,,,bottom_right,
삭제 image,delete,image,large,,,next_to,
can cou close image,close,image,focused,email,89,center_right,remove button
close dialog,close,dialog,primary,,,left,profile icon
launch chart,launch,chart,disabled,warning,,nearest,
unpin dropdown,unpin,dropdown,success,address,10,behind,
can you l@unch menu,launch,menu,danger,,,center_right,
clos8 the camera,close,camera,secondary,,87,left_edge,
please launch message,launch,message,primary,,31,last_column,sort button
logio notification,login,notification,,,28,last,
login iczn,login,icon,,,20,first_column,
actually unpin popup,unpin,popup,info,notification,,farthest,sidebar menu
please laknch potup,launch,popup,warning,,73,bottom_right,filter button
like launch card,launch,card,,email,44,inside,
delete the notification,delete,notification,secondary,,78,bottom_left,
maybe close radio_button,close,radio_button,,,,lower_center,main content
long_press audio top_right popup,long_press,audio,yellow,cancel,78,top_right,popup
launch the checkbox,launch,checkbox,,retry,4,third,
taunch on 1lider,launch,slider,active,upload,39,between,
login the camera,login,camera,light,upload,63,before,
long_press calendar,long_press,calendar,blue,,,right_edge,
c|ose progress_bar,close,progress_bar,bold,,,bottom_right,modal
삭제 tab,delete,tab,,,,behind,
unpin audio,unpin,audio,green,,43,second_row,
you know long_press switch,long_press,switch,strikethrough,,55,inside,
a7cept the dropdown,accept,dropdown,,,,after,
can you launch link,launch,link,,profile,2,bottom_right,
accept cahd,accept,card,green,back,71,second_row,
please c|ose calendar,close,calendar,,,99,first_column,password field
지우세요 tab,delete,tab,,import,48,first_column,
just launch the menu,launch,menu,highlighted,,48,left,password field
please unpin camera,unpin,camera,,,6,lower_center,
lhunch the table,launch,table,yellow,,,left_edge,
ca0 bou summit notificatisn,submit,notification,red,,,after,audio player
accept th3 card,accept,card,expanded,login,88,nearest,
can you accept calendar,accept,calendar,,,,farthest,add button
actually please check notification,check,notification,info,,,center_right,
drag thv documenj,drag,document,,,,last_column,dialog box
submi7 documenw,submit,document,underlined,alert,,farthest,
summit the dropdowu,submit,dropdown,primary,,,first_column,delete button
long_press tab,long_press,tab,disabled,cancel,,top_right,
please delete image,delete,image,,submit,51,after,
can you unpin switch,unpin,switch,highlighted,retry,15,bottom_left,export button
삭제해 camera,delete,camera,active,cancel,,bottom_right,
like delete calendar,delete,calendar,secondary,previous,,center,sidebar menu
please login switch,login,switch,,login,,left_edge,search bar
submit camera,submit,camera,expanded,,31,lower_center,
just please close dropdown,close,dropdown,active,alert,39,nearest,upload button
long_press the success chart,long_press,chart,success,home,39,farthest,
actually submit radio_button,submit,radio_button,,phone,,nearest,
삭제해 switch,delete,switch,,,35,between,top navigation
close popup,close,popup,disabled,phone,11,center,main content
maybe please check file,check,file,,,,left,
login link,login,link,large,notification,76,inside,phone field
close the camera,close,camera,warning,,,bottom_right,
can you delete graph,delete,graph,bold,download,18,right_edge,
summit file,submit,file,,filter,27,bottom_right,
long_press the chart,long_press,chart,green,,4,left,email field
ulpin ic0n,unpin,icon,,info,,first_row,submit button
maybe please check phone_number,check,phone_number,expanded,,9,next_to,phone field
launch the graph,launch,graph,,,76,above,
like please check radio_button,check,radio_button,red,,27,after,
i think long_press disabled switch,long_press,switch,disabled,,84,last_column,
can you unpin search_box,unpin,search_box,small,,56,center,
can you accept switch,accept,switch,bold,,28,farthest,sidebar menu
like unpin the chart,unpin,chart,bold,notification,,second,popup
launch 1he dropdown,launch,dropdown,italic,cancel,,top_right,
like accept chart,accept,chart,danger,,,after,chart view
please check password,check,password,,,,right_edge,card list
delete calendar,delete,calendar,,info,48,behind,password field
can you launch switch,launch,switch,expanded,,,right_edge,
please c|ose image,close,image,warning,alert,84,last_column,profile icon
삭제 slider,delete,slider,red,loading,,inside,
accept file,accept,file,italic,next,99,bottom_left,
launch thf table,launch,table,,confirm,,under,
please long_rress sliqer,long_press,slider,dark,,26,second,message field
chxck gallery,check,gallery,large,back,50,first_row,
drag the link,drag,link,,settings,42,center_right,download button
login the link,login,link,,,98,left_edge,
delete password,delete,password,,,84,next_to,password field
can you drag password,drag,password,,remove,,last_column,cart icon
you know unpin checkbox,unpin,checkbox,active,next,14,left_edge,card list
just drag the menu,drag,menu,red,,24,second_last,
please check chart,check,chart,,,48,under,
please close switch,close,switch,,,93,last_column,
drag the progress_bar,drag,progress_bar,blue,delete,5,second_last,
1ogin on gallery,login,gallery,expanded,,,below,download button
close icon,close,icon,,,70,center_right,delete button
submit the search_box,submit,search_box,,,69,bottom_left,
submitt doopdown,submit,dropdown,large,,,nearest,filter button
login text,login,text,strikethrough,,98,next_to,
drag radio_button,drag,radio_button,,previous,16,second_row,
삭제해 dialog,delete,dialog,underlined,home,82,in_front_of,table view
actually accept popup,accept,popup,,share,,second_last,search bar
unpin on password,unpin,password,,,21,center,message field
can you delete document,delete,document,small,settings,3,second_row,
unpin expanded slider,unpin,slider,expanded,delete,,next_to,
actually accept icon,accept,icon,light,,,first_column,
please check radio_button,check,radio_button,expanded,,74,center,
accept the blue checkbox,accept,checkbox,blue,submit,5,behind,
accept icon,accept,icon,,,,last_column,
please launch gallery,launch,gallery,bold,message,,next_to,
can you submi7 drovdown,submit,dropdown,,,,right_edge,map view
actually please unpin switch,unpin,switch,,,92,inside,search field
l@unch on popup,launch,popup,,warning,29,between,
can you launch dialog,launch,dialog,,,,lower_center,
just launch password,launch,password,red,edit,99,bottom_right,
please drag dicument,drag,document,,,96,center_right,
can you unpin radio_button,unpin,radio_button,italic,,55,second_row,remove button
please launch document,launch,document,disabled,,37,center,
please accept calendar,accept,calendar,dark,,,after,
delete the text,delete,text,,filter,48,between,
please unpin notification,unpin,notification,blue,password,59,inside,search field
login thx password,login,password,,register,51,behind,
1ogin chart,login,chart,info,,68,nearest,profile icon
long_press camera,long_press,camera,info,remove,86,last_column,message field
dr3g switch,drag,switch,small,password,61,next_to,
you know delete input,delete,input,,refresh,18,after,profile icon
please close link,close,link,,email,20,second,
login file,login,file,collapsed,refresh,8,center,
uh leaf dropdown,delete,dropdown,,address,60,inside,sort button
long_press text,long_press,text,,,86,left_edge,
c1o5e dialog,close,dialog,,,,after,
drag audio,drag,audio,,,38,below,
please long_press notification,long_press,notification,large,email,2,in_front_of,
accipt the text,accept,text,,error,23,left_edge,home button
delete dialog,delete,dialog,disabled,,93,outside,
launch the message,launch,message,,,77,after,
you know can you accept gallery,accept,gallery,strikethrough,phone,29,outside,export button
launch radio_button,launch,radio_button,bold,,60,before,
can you delete search_box,delete,search_box,warning,,42,bottom_left,email field
can you close notification,close,notification,highlighted,,,last_column,
please check progress_bar,check,progress_bar,italic,,65,second_row,address field
delete table,delete,table,,ok,,behind,main content
long_press the table,long_press,table,danger,,89,between,
please close gallery,close,gallery,active,address,60,right_edge,
submitt the text,submit,text,,retry,43,center_right,
can you login audio,login,audio,strikethrough,message,85,right_edge,
just drag gallery,drag,gallery,,logout,,last_column,video player
longlpress xotification,long_press,notification,,,73,farthest,
확인하세요 dropdown,submit,dropdown,dark,,97,center,
unpin the password,unpin,password,,,47,behind,
cl9se 6he gallery,close,gallery,highlighted,,9,left,
please launch image,launch,image,,,,lower_center,modal
close input,close,input,,password,95,left_edge,footer
전송 card,submit,card,light,success,,bottom_left,
지우세요 chart,delete,chart,italic,,65,left,top navigation
check tmxt,check,text,,,96,before,import button
hrag calendar,drag,calendar,,,23,above,sidebar menu
deleet search_box,delete,search_box,underlined,,80,behind,
close table,close,table,red,edit,,farthest,
can you long_press chart,long_press,chart,disabled,,25,second_last,map view
please drag gallery,drag,gallery,expanded,,31,farthest,
launch the radio_button,launch,radio_button,info,,48,center_right,
drag the search_box,drag,search_box,focused,,24,above,
i think submit the radio_button,submit,radio_button,yellow,,18,third,
i think can you launch graph,launch,graph,highlighted,,46,last,
zheck radio_button,check,radio_button,strikethrough,,14,left_edge,
maybe please accept dropdown,accept,dropdown,,,,outside,
delete th3 text,delete,text,bold,,22,below,dialog box
actually launch menu,launch,menu,underlined,logout,71,next_to,search field
drag the graph,drag,graph,underlined,,6,between,search bar
long_press t4e text,long_press,text,focused,profile,4,center_right,
accept on audio,accept,audio,active,,,second_row,
can you unpin slider,unpin,slider,blue,,1,second,
please long_press documgnt,long_press,document,light,,92,in_front_of,
check dial0g,check,dialog,success,notification,9,left,phone field
please login link,login,link,,add,5,above,
please unpin table,unpin,table,,edit,88,first_column,header
can you lojin image,login,image,info,,41,under,
ca0 you close gudio,close,audio,disabled,,29,third,top navigation
launch switch,launch,switch,primary,,3,first_row,dialog box
please accept camera,accept,camera,,error,20,bottom_right,
please close chart,close,chart,,phone,82,below,
actually submit file,submit,file,large,,72,behind,table view
login message,login,message,collapsed,,12,in_front_of,
please close message,close,message,active,notification,,bottom_right,
can you long_press phone_number,long_press,phone_number,,,11,outside,
can you long_press checkbox,long_press,checkbox,green,warning,93,outside,
check tn menu,check,menu,warning,,86,before,
delete the checkbox,delete,checkbox,,save,,under,table view
de1ete imaga,delete,image,,home,68,second_last,main content
unpin on calendar,unpin,calendar,primary,export,,farthest,
de1ete the camera,delete,camera,,phone,62,last,audio player
check the slider,check,slider,,,,behind,
cln yof vheck audio,check,audio,blue,,35,before,
subm1t t2e file,submit,file,primary,alert,73,inside,
abcept phone_number,accept,phone_number,collapsed,cancel,23,last,
can you check table,check,table,dark,add,,top_right,
can you check notification,check,notification,italic,alert,,behind,
c1o5e password,close,password,expanded,,28,lower_center,
unpim th7 csllapsed mard,unpin,card,collapsed,retry,48,left_edge,
drag on dialog,drag,dialog,collapsed,save,,before,dialog box
long_press on slider,long_press,slider,,,25,second_last,
subm1t fili,submit,file,info,,59,next_to,cancel button
unpin the red file,unpin,file,red,settings,39,left_edge,
you know long_press notification,long_press,notification,underlined,success,2,before,
close the slider,close,slider,bold,,,first_row,
please accept switch,accept,switch,blue,warning,76,center,download button
close the chart,close,chart,collapsed,,18,left,
delete chart,delete,chart,,,82,nearest,
accept on card,accept,card,dark,message,70,inside,
you know accept the document,accept,document,,,90,last_column,
maybe login menu,login,menu,,delete,96,bottom_right,
launch calendar,launch,calendar,,empty,,first_column,chart view
you know login slider,login,slider,,,,outside,
unpin phone_number,unpin,phone_number,danger,save,,second_last,
maybe please launch chart,launch,chart,disabled,,7,before,export button
login the dropdown,login,dropdown,focused,,37,lower_center,
can you launch popup,launch,popup,,,,last_column,menu button
drag popup,drag,popup,disabled,,56,last,download button
like drag the popup,drag,popup,yellow,,0,behind,
submit text,submit,text,disabled,error,,top_right,share button
can you login dialog,login,dialog,dark,loading,,next_to,
drag dropdown,drag,dropdown,,sort,91,last_column,
like check notification,check,notification,blue,submit,29,farthest,search field
delete text,delete,text,,,72,center,main content
can you close text,close,text,danger,message,86,bottom_left,notification panel
can you launch table,launch,table,,,52,second_last,
삭제 camera,delete,camera,primary,,72,bottom_right,phone field
pleate long_press table,long_press,table,yellow,address,16,left,
delte chart,delete,chart,,,43,second_row,
delet link,delete,link,bold,,53,second,
actually unpin the notification,unpin,notification,strikethrough,add,,lower_center,
please long_press chart,long_press,chart,success,back,40,farthest,
long_press the light search_box,long_press,search_box,light,ok,42,between,
close the duopdown,close,dropdown,bold,,22,first_column,table view
l0gin the dialog,login,dialog,italic,,,below,delete button
plea5e accept audio,accept,audio,strikethrough,error,49,lower_center,
submi7 the d8opdown,submit,dropdown,,import,58,left,
pyease logi2 document,login,document,expanded,search,59,below,notification panel
deleet gallery,delete,gallery,primary,,97,outside,home button
submit the notification,submit,notification,success,,,under,email field
actually close the text,close,text,,,80,next_to,popup
accept notification,accept,notification,,,98,second,settings button
accept the search_box,accept,search_box,danger,message,41,after,
please launch icon,launch,icon,highlighted,password,95,bottom_left,
you know drag the card,drag,card,,cancel,98,left,
ple@se c|ose document,close,document,,,7,third,main content
long_press ga1lery,long_press,gallery,,upload,46,center,top navigation
delete input,delete,input,large,share,2,next_to,modal
long_press inp0t,long_press,input,underlined,share,83,nearest,
launch on link,launch,link,bold,submit,81,top_right,
long_press the checkbox,long_press,checkbox,italic,notification,,next_to,video player
please unpin text,unpin,text,,previous,22,lower_center,upload button
지우세요 password,delete,password,blue,,,between,
check the link,check,link,,,15,between,
delte the dropdowj,delete,dropdown,bold,retry,43,center,
please unpin slider,unpin,slider,primary,,70,farthest,
전송 document,submit,document,highlighted,save,,behind,filter button
5ubmit dropdown,submit,dropdown,bold,profile,,before,
maybe drag icon,drag,icon,,,,first_column,
submitt the radio_button,submit,radio_button,,,13,left,
check the galliry,check,gallery,highlighted,warning,,in_front_of,audio player
3ogin the message,login,message,expanded,,,center_right,sort button
c@n you check popup,check,popup,,,74,behind,
accept the password,accept,password,,add,35,left_edge,
i think close the message,close,message,disabled,,13,inside,
login success,login,audio,,success,,under,
delet the p7pup,delete,popup,secondary,,65,under,home button
accept dialog,accept,dialog,focused,upload,27,next_to,
accept the icon,accept,icon,bold,,20,bottom_right,message field
check iudio,check,audio,underlined,,16,bottom_left,
please accept inpu7,accept,input,,edit,,between,
maybe drag the card,drag,card,,success,67,in_front_of,sort button
check on tab,check,tab,strikethrough,,21,center_right,
i think accept on table,accept,table,focused,add,5,nearest,
de1ete dropdowp,delete,dropdown,,warning,,center,header
can you cloke pocup,close,popup,info,upload,79,third,
unpim icon,unpin,icon,collapsed,,92,first_column,
check inpu7,check,input,underlined,previous,73,in_front_of,
pllase submitt radio_button,submit,radio_button,,,39,in_front_of,delete button
can you login document,login,document,,logout,42,before,notification panel
please check search_box,check,search_box,small,previous,42,left_edge,
unpin password,unpin,password,italic,,33,second_row,submit button
check the document,check,document,,,,bottom_right,calendar view
unpin radio_button,unpin,radio_button,,download,,left_edge,
check the file,check,file,bold,email,,farthest,import button
지우세요 image,delete,image,,profile,84,left_edge,
drag slider,drag,slider,dark,,6,below,map view
login the phone_number,login,phone_number,success,refresh,79,second,popup
drag the notification,drag,notification,strikethrough,,,behind,
launch the search_box,launch,search_box,green,,,behind,
can you long_press text,long_press,text,,empty,,top_right,remove button
삭제 chart,delete,chart,disabled,remove,61,lower_center,
cax you launch search_b9x,launch,search_box,highlighted,,19,bottom_right,
please delete file,delete,file,,,33,third,
can you long_press gallery,long_press,gallery,large,,88,bottom_left,
launch the poeup,launch,popup,green,,28,first_column,
accept the phone_number,accept,phone_number,strikethrough,,85,third,password field
long_press table,long_press,table,small,profile,2,bottom_right,sort button
subm1t 7ocument,submit,document,yellow,warning,67,top_right,
long_press the dialog,long_press,dialog,,ok,90,next_to,remove button
long_press the slider,long_press,slider,collapsed,,92,behind,
지우세요 card,delete,card,red,,,center,
drag 아이콘,drag,icon,collapsed,,36,left,import button
please long_press input,long_press,input,,,7,outside,save button
unpin the text,unpin,text,,filter,65,next_to,
checu calendar,check,calendar,red,,,behind,
accept search_box,accept,search_box,,error,60,between,
can you accept image,accept,image,,,71,below,message field
close on camera,close,camera,,,95,third,calendar view
losin the powup,login,popup,,,8,nearest,
like delete text,delete,text,large,,36,after,dialog box
launch document,launch,document,,next,58,bottom_left,
please close graph,close,graph,,warning,70,center_right,save button
can you login table,login,table,warning,email,66,behind,
삭제해 radio_button,delete,radio_button,,,84,center,
check image,check,image,,,,center_right,
login graph,login,graph,,info,20,first_column,
login radio_button,login,radio_button,strikethrough,,79,above,share button
close the password,close,password,,,77,inside,image gallery
deleet the strikethrough radio_2utton,delete,radio_button,strikethrough,,96,third,
unpin the gallery,unpin,gallery,dark,,43,left,
drag phone_number,drag,phone_number,light,submit,43,first_column,search bar
deleet chart,delete,chart,,loading,,second_row,
long_press radio_button,long_press,radio_button,,,84,bottom_left,
submitt radio_button,submit,radio_button,danger,loading,,second,table view
uh leaf graph,delete,graph,,,13,center,home button
subm1t radio_button,submit,radio_button,,,36,bottom_left,main content
please close camera,close,camera,,settings,18,after,email field
drag search_box,drag,search_box,small,,,farthest,dialog box
submitt file,submit,file,,export,61,farthest,
like can you close search_box,close,search_box,yellow,,40,first_column,
just please login popup,login,popup,,,99,behind,email field
check dropdown,check,dropdown,,,99,second_last,chart view
accept the switch,accept,switch,,add,33,third,
just please submit text,submit,text,collapsed,sort,46,between,
just long_press card,long_press,card,,,89,above,
close on notification,close,notification,dark,filter,,last,
i think please unpin camera,unpin,camera,underlined,filter,61,left_edge,
please launch radio_button,launch,radio_button,focused,,4,lower_center,
unpin dialog,unpin,dialog,,message,26,inside,
전송 text,submit,text,small,,68,left_edge,modal
accept the file,accept,file,active,,29,farthest,profile icon
can xou launch dixlog,launch,dialog,,register,38,left_edge,message field
check dialog,check,dialog,,login,69,third,
can you unpin gallery,unpin,gallery,,,,next_to,main content
submi7 the text,submit,text,small,,,after,
please unpin calendar,unpin,calendar,strikethrough,,56,left_edge,
close the calendar,close,calendar,,save,60,center,edit button
long_press the search_box that is in_front_of the export button,long_press,search_box,,notification,41,in_front_of,export button
you know launch the radio_button,launch,radio_button,secondary,address,84,left,
drag radio_buttod right_edge dielog box,drag,radio_button,secondary,,40,right_edge,dialog box
please long_press switch,long_press,switch,success,,,next_to,message field
check tae tab,check,tab,,login,81,center_right,
just check password,check,password,light,,72,third,
can you launch password,launch,password,,,42,right_edge,message field
please close audio,close,audio,bold,search,80,top_right,
unpin th3 image,unpin,image,,,89,second,
actually check message,check,message,blue,,17,inside,save button
unpin 입력,unpin,input,italic,password,,last,download button
c1o5e the graph,close,graph,yellow,,15,left_edge,add button
accept dropdown,accept,dropdown,active,,,below,image gallery
i think please drag menu,drag,menu,,,13,outside,
please dr@g tab,drag,tab,,retry,,next_to,filter button
can you accept password,accept,password,,password,6,farthest,
deleet icon,delete,icon,info,,60,lower_center,
can you unpin card,unpin,card,,notification,,first_column,
c0n 1ou drag graph,drag,graph,,add,,bottom_right,phone field
de leaf the search_box,delete,search_box,,,55,last,map view
submitt text,submit,text,highlighted,,,second_row,
delte smoll notification,delete,notification,small,,26,second_last,
삭제해 document,delete,document,,,38,top_right,
i think please submit text,submit,text,large,,,bottom_left,main content
maybe submit the file,submit,file,info,,58,between,
지우세요 slider,delete,slider,info,,18,first_column,
check on file,check,file,secondary,,77,in_front_of,calendar view
close switch,close,switch,,home,,below,card list
deleet the image,delete,image,underlined,home,73,behind,address field
delete message,delete,message,collapsed,alert,23,nearest,settings button
long_press the inpu7,long_press,input,collapsed,,17,below,
drag input,drag,input,,previous,39,lower_center,
actually please close notification,close,notification,,,21,right_edge,
삭제해 gallery,delete,gallery,large,,,last,
login the progress_bar,login,progress_bar,,,,bottom_right,
can you check graph,check,graph,active,sort,67,farthest,modal
can you accept slider,accept,slider,,import,,bottom_left,
unpin the message,unpin,message,,settings,,right_edge,
actually please check tab,check,tab,,download,51,first_column,
actually accept the chart,accept,chart,success,,,third,card list
can you accept popup,accept,popup,,message,99,in_front_of,
login password,login,password,red,,58,after,
de1ete searfh_box,delete,search_box,highlighted,,0,under,share button
please drag dialog,drag,dialog,yellow,register,,between,
please drag table,drag,table,,alert,79,bottom_left,
eong_press document,long_press,document,,export,21,left_edge,popup
just check search_box,check,search_box,italic,,75,below,
삭제 phone_number,delete,phone_number,primary,,20,last,
login the switch,login,switch,,,20,under,
unpin on gallery,unpin,gallery,warning,,55,second_last,
please accept search_box,accept,search_box,,,75,right_edge,
c1o5e the password,close,password,,,,after,main content
please close radio_button,close,radio_button,underlined,retry,84,left_edge,
please login graph,login,graph,,,51,bottom_right,main content
please delete camera,delete,camera,focused,,69,under,
삭제해 audio,delete,audio,secondary,,,left,
actually please delete gallery,delete,gallery,light,,70,second_last,
unsin grash,unpin,graph,,email,53,behind,
i think close search_box,close,search_box,,,,in_front_of,
draf on icqn,drag,icon,secondary,,,left_edge,top navigation
can you accept tab,accept,tab,yellow,email,0,nearest,
unpin input,unpin,input,danger,,33,center,chart view
actually drag the password,drag,password,warning,submit,23,inside,refresh button
login hink,login,link,focused,loading,87,right_edge,filter button
삭제해 image,delete,image,,,96,lower_center,
please de leaf dialog,delete,dialog,,refresh,,last,table view
submit search_box,submit,search_box,expanded,edit,24,between,
can you check text,check,text,,,83,above,edit button
please dr@g messag3,drag,message,,,36,left,
please c1o5e camera,close,camera,underlined,remove,84,under,
drag menu,drag,menu,,,,top_right,
please launch input,launch,input,warning,,82,lower_center,
close the radio_button,close,radio_button,green,empty,77,bottom_left,
지우세요 popup,delete,popup,small,share,,before,email field
can 1ou subm1t camera,submit,camera,,,38,second,
drag on gallery,drag,gallery,light,email,71,after,chart view
check the phone_number,check,phone_number,light,,,second,
accept g@llery,accept,gallery,italic,,,last_column,upload button
you know please drag phone_number,drag,phone_number,red,,,next_to,map view
please drag tadle,drag,table,,ok,88,second_row,
삭제 graph,delete,graph,dark,,10,left,
unpin the fi1e,unpin,file,,remove,26,after,upload button
close document,close,document,,,83,in_front_of,
check the text,check,text,yellow,,3,inside,card list
accept card,accept,card,,confirm,35,lower_center,video player
delete phone_numb3r,delete,phone_number,blue,,,top_right,
maybe login dropdown,login,dropdown,,,,second,
삭제해 calendar,delete,calendar,danger,email,,between,
launch tee image,launch,image,italic,profile,99,second,
accept phone_number,accept,phone_number,,download,,second,
long_press the password,long_press,password,,,19,after,chart view
please launch slider,launch,slider,,,,above,
can you delete audio,delete,audio,success,,54,farthest,add button
can you unpin icon,unpin,icon,,,89,in_front_of,footer
ladnch gallery,launch,gallery,dark,,,second_row,
c1o5e image,close,image,underlined,,,center,
삭제해 link,delete,link,,,,top_right,
close 입력,close,input,,error,21,inside,
actually please unpin table,unpin,table,,,15,lower_center,footer
clooe 8lider,close,slider,small,message,,behind,
long_press gallery,long_press,gallery,focused,import,82,inside,
please login input,login,input,blue,,,next_to,map view
accepi switch,accept,switch,collapsed,,66,third,chart view
launch the gallery,launch,gallery,italic,refresh,11,center_right,
drag progress_bar,drag,progress_bar,expanded,,81,next_to,calendar view
please c|ose input,close,input,,empty,,under,
chzck text,check,text,collapsed,,53,right_edge,
login icon,login,icon,,,47,bottom_left,sidebar menu
long_press slider,long_press,slider,,,78,last,sort button
login 아이콘,login,icon,,,,last_column,
accept table,accept,table,,email,91,below,
close the dialog,close,dialog,small,,65,last,
삭제해 menu,delete,menu,strikethrough,profile,,center,footer
unpin the menu,unpin,menu,,,2,outside,
launch the tab,launch,tab,,,,bottom_left,
i think drag switch,drag,switch,,,99,between,
please launch calendar,launch,calendar,large,,,last,
launch popup,launch,popup,highlighted,,8,second_last,top navigation
dra1 calendar,drag,calendar,secondary,,27,next_to,
i think submit dropdown,submit,dropdown,light,filter,89,farthest,
uh leaf file,delete,file,,upload,56,under,
clo5e the camera,close,camera,yellow,search,15,above,
actually unpin the slider,unpin,slider,light,,,before,
submit notification,submit,notification,primary,previous,,in_front_of,email field
can you de1ete 7ink,delete,link,,,48,left,filter button
2rag on calendar,drag,calendar,,login,74,first_column,settings button
please launch file,launch,file,dark,edit,19,in_front_of,
maybe please launch slider,launch,slider,success,,4,third,
submit the file,submit,file,small,info,26,center_right,
long_press image,long_press,image,green,login,97,after,
close phone_number,close,phone_number,dark,ok,,between,cancel button
launch card,launch,card,active,,89,bottom_right,table view
login on image,login,image,,message,18,farthest,
launch gallery,launch,gallery,light,edit,,last_column,audio player
l0gin notification,login,notification,primary,submit,,after,settings button
you know close card,close,card,,,,behind,
please unpin radio_button,unpin,radio_button,primary,share,86,left,
unpin the notification,unpin,notification,green,empty,,before,
long_press phone_number,long_press,phone_number,,login,64,bottom_right,
maybe unpin the switch,unpin,switch,danger,export,17,under,
accept progress_bar after settings button,accept,progress_bar,success,alert,64,after,settings button
login the tab,login,tab,green,,49,behind,
like login progress_bar,login,progress_bar,expanded,,46,after,modal
actually submit on document,submit,document,red,,,below,search bar
delete the link,delete,link,primary,,38,center,
unpin thh checkbox,unpin,checkbox,,,42,last,
please delete graph,delete,graph,,edit,,above,table view
please xheck progress_bar,check,progress_bar,info,,,third,upload button
like accept search_box,accept,search_box,red,,3,bottom_left,
cam you login icln,login,icon,green,,89,second_row,search field
pleave drag next,drag,text,,empty,3,third,
can you check image,check,image,danger,phone,90,second,image gallery
i think long_press the message,long_press,message,warning,,93,third,
check the notification,check,notification,,previous,,center,
can you unpin chart,unpin,chart,,success,48,behind,
you know long_press chart,long_press,chart,light,,44,under,table view
launeh audiv,launch,audio,,error,,below,submit button
can you launch chart,launch,chart,,error,,center,card list
plnase logiz progress_bar,login,progress_bar,,,60,before,dialog box
삭제해 phone_number,delete,phone_number,success,,,in_front_of,
maybe unpin dropdown,unpin,dropdown,underlined,,61,last_column,
lo4in the text,login,text,,password,,left_edge,edit button
login notification,login,notification,,password,57,second_row,
accept the calendar,accept,calendar,active,confirm,,bottom_right,
delte dropdown,delete,dropdown,,upload,90,bottom_right,
can you accept mab,accept,tab,dark,download,,last,
plvase long_press audio,long_press,audio,info,,,last,
submit on camera,submit,camera,yellow,empty,,second_row,main content
laumch the switch,launch,switch,,add,6,under,map view
please close menu,close,menu,,delete,83,last_column,
please delte i3on,delete,icon,focused,logout,75,third,
can you close message,close,message,small,,18,inside,
long_press inpu7,long_press,input,disabled,filter,79,after,
subm1t the notafication,submit,notification,primary,,13,next_to,
please rrag twitch,drag,switch,,remove,55,below,
submi7 camera,submit,camera,,,61,before,
logi2 the slider,login,slider,blue,,63,farthest,
long_press 체크박스,long_press,checkbox,,,57,below,
unpin the chart,unpin,chart,,,61,between,phone field
please close tab,close,tab,active,,77,center_right,
unpin slider behind password field,unpin,slider,,settings,,behind,password field
accept password,accept,password,,,,second_row,
unpin graph,unpin,graph,blue,info,45,in_front_of,
actually drag the radio_button,drag,radio_button,red,,78,bottom_right,
can you drag progress_bar,drag,progress_bar,red,sort,16,inside,submit button
unpin the progress_bar,unpin,progress_bar,success,,9,top_right,card list
can you unpin checkbox,unpin,checkbox,strikethrough,,79,center,
please unpin audio,unpin,audio,success,,86,second_last,
accept popup,accept,popup,highlighted,,8,nearest,cart icon
login on password,login,password,,,23,first_row,settings button
can you submi7 nutification,submit,notification,,ok,7,nearest,
check switch,check,switch,danger,,89,inside,map view
like can you check text,check,text,,message,49,lower_center,
삭제해 chart,delete,chart,,,47,after,
i think drag slider,drag,slider,highlighted,upload,15,farthest,profile icon
삭제 popup,delete,popup,,,26,behind,search bar
삭제 password,delete,password,warning,upload,,lower_center,
drag text,drag,text,,message,28,between,
