command,intent,target,attribute,label,index,relation,reference
delet the menu,delete,menu,,,,left_edge,
long_press thf image,long_press,image,bold,settings,47,right_edge,
close dropdown,close,dropdown,disabled,share,15,bottom_left,notification panel
long_press phone_number,long_press,phone_number,danger,,6,last,video player
login table,login,table,yellow,,,last_column,delete button
deleet calendar,delete,calendar,warning,,70,in_front_of,
launch on document,launch,document,blue,next,,under,dialog box
login image,login,image,disabled,,17,last_column,
close card,close,card,,,46,lower_center,
launch slider,launch,slider,large,submit,,farthest,
delete camera,delete,camera,secondary,,,farthest,
check the icon,check,icon,,,25,farthest,cancel button
you know unpin dropdown,unpin,dropdown,,,40,below,
drag notification,drag,notification,underlined,ok,,second,export button
drag 입력,drag,input,active,retry,73,inside,chart view
unpin on link,unpin,link,,,27,last_column,export button
uh leaf popup,delete,popup,yellow,,25,below,cancel button
drag on chart,drag,chart,,export,15,third,
login m3nu,login,menu,highlighted,,80,inside,refresh button
login password,login,password,italic,download,,between,
check camera,check,camera,underlined,add,,in_front_of,
accept camera,accept,camera,disabled,,8,right_edge,
acceut the phone_number,accept,phone_number,,login,,last,
launch audio,launch,audio,,ok,,top_right,menu button
launvh the progress_bar,launch,progress_bar,,message,,after,share button
close on slider,close,slider,secondary,,46,second_row,sidebar menu
can you drag link,drag,link,,previous,74,outside,
close password,close,password,expanded,settings,,farthest,
please check message,check,message,info,,69,last,audio player
login file,login,file,,,,top_right,menu button
delete on menu,delete,menu,light,register,15,between,
please accept gallery,accept,gallery,,,,inside,
close switch,close,switch,dark,search,,second_last,
launch chart,launch,chart,success,sort,64,second,phone field
please delete tab,delete,tab,light,,99,second_last,
login slider,login,slider,disabled,delete,75,right_edge,
1ogin checkbox,login,checkbox,info,refresh,37,right_edge,
accept radio_button,accept,radio_button,warning,,98,under,
login notification,login,notification,,filter,,center,
close chart,close,chart,,,73,below,
check image,check,image,italic,,80,lower_center,
login the message,login,message,active,,38,next_to,chart view
accept the search_box,accept,search_box,red,export,83,top_right,sort button
login dropdown,login,dropdown,,message,92,above,back button
close notification,close,notification,,filter,61,second_last,edit button
accept table,accept,table,warning,,50,between,search field
delete the dropdown,delete,dropdown,secondary,previous,86,last,
accept camera,accept,camera,,alert,20,left,sidebar menu
전송 text,submit,text,blue,message,47,right_edge,password field
actually launch on checkbox,launch,checkbox,success,,54,outside,phone field
drag message,drag,message,red,,34,second,
login dropdown,login,dropdown,highlighted,,28,third,
login card,login,card,,share,26,second_row,
please long_press card,long_press,card,large,,85,left,
삭제해 message,delete,message,strikethrough,,87,before,
launch input,launch,input,,,61,first_column,
launch tgble,launch,table,info,,,after,
제출 camera,submit,camera,red,confirm,73,center_right,
close audio,close,audio,,empty,30,center,share button
can you close 8con,close,icon,,,,behind,phone field
login text,login,text,,,,behind,
login audio,login,audio,,,,bottom_left,
long_press chart,long_press,chart,,,90,nearest,
launch 8he tarle,launch,table,,,55,farthest,footer
삭제 calendar,delete,calendar,,loading,6,right_edge,
please close notification,close,notification,blue,warning,27,second_last,table view
close slider,close,slider,small,,4,bottom_left,
check the link,check,link,red,search,,second_last,
drag se0rch_box,drag,search_box,expanded,loading,16,below,remove button
launch radio_button,launch,radio_button,,edit,20,second_row,search bar
unpin p1pup,unpin,popup,,,83,left_edge,
long_press 입력,long_press,input,underlined,register,,right_edge,image gallery
삭제 popup,delete,popup,yellow,,,below,
please long_press radio_button,long_press,radio_button,green,,22,lower_center,
delete the text,delete,text,,upload,59,second_last,import button
drag dialog,drag,dialog,green,,71,below,search field
actually please long_press radio_button,long_press,radio_button,,settings,,nearest,
drag notification,drag,notification,italic,filter,91,outside,
please close slider,close,slider,active,remove,,center_right,
삭제 popup,delete,popup,,warning,56,second,download button
check the text,check,text,,retry,42,after,home button
drag password,drag,password,,,68,last,delete button
삭제해 graph,delete,graph,danger,address,51,under,cart icon
launch chart,launch,chart,,,73,center_right,sidebar menu
drag calendar,drag,calendar,,,51,inside,
i think please unpin input,unpin,input,blue,,56,second_last,
delete the notification,delete,notification,,next,,between,
please accept search_box,accept,search_box,primary,email,72,outside,
login file,login,file,,success,,after,modal
check tab,check,tab,yellow,empty,,after,
삭제해 message,delete,message,expanded,,,nearest,
drag gallery,drag,gallery,,back,35,between,
please long_press link,long_press,link,focused,notification,,bottom_right,
please check radio_button,check,radio_button,light,upload,16,last_column,
please launch link,launch,link,,,,farthest,footer
please unpin gallery,unpin,gallery,collapsed,,,first_column,
djag the checkbox,drag,checkbox,strikethrough,cancel,,below,menu button
check tab,check,tab,,loading,35,farthest,address field
accept graph,accept,graph,dark,,,in_front_of,share button
can you accept camera,accept,camera,,edit,,second_last,
drag dialog,drag,dialog,,,38,left_edge,
accept gallery,accept,gallery,italic,,8,second_last,
accept notification,accept,notification,light,,0,behind,
close file,close,file,strikethrough,,86,center,back button
please launch notification,launch,notification,,,,farthest,home button
unpin the chart,unpin,chart,,,,top_right,
drag the link,drag,link,collapsed,,,third,phone field
삭제해 document,delete,document,expanded,empty,,before,
check text,check,text,green,,,bottom_left,message field
close the progress_bar,close,progress_bar,small,,73,first_column,
제출 dropdown,submit,dropdown,warning,,43,second_last,
close dialog,close,dialog,strikethrough,empty,,first_row,
long_press slider,long_press,slider,,,88,in_front_of,
drag notification,drag,notification,strikethrough,,7,bottom_right,
drag slider,drag,slider,,,,left,chart view
please check text,check,text,disabled,,99,first_column,
launch 체크박스,launch,checkbox,italic,,92,after,home button
check the icwn,check,icon,,,,before,
확인하세요 file,submit,file,large,home,33,farthest,
drag the search_box,drag,search_box,,import,63,left,modal
unpin radio_button,unpin,radio_button,,,,inside,
delete text,delete,text,blue,,43,before,profile icon
unpin graph,unpin,graph,underlined,delete,,below,refresh button
launch the table,launch,table,light,,34,left,refresh button
login chart,login,chart,,cancel,,last_column,
accept the table,accept,table,,,,right_edge,
i think login message,login,message,,,,nearest,
check the input,check,input,,next,21,after,
please long_press link,long_press,link,yellow,register,69,left_edge,
accept popup,accept,popup,,empty,57,first_row,
check phone_number,check,phone_number,focused,,71,second,map view
launch 아이콘,launch,icon,warning,confirm,,left,cancel button
drag password,drag,password,bold,,92,lower_center,map view
지우세요 입력,delete,input,,profile,2,outside,settings button
you know please unpin progress_bar,unpin,progress_bar,bold,ok,13,below,
delete the document,delete,document,,address,15,right_edge,popup
drag camera,drag,camera,,filter,87,center,
de1ete the icon,delete,icon,,,65,after,
drag text,drag,text,secondary,,41,right_edge,
launch phone_number,launch,phone_number,large,previous,51,between,
close progress_bar,close,progress_bar,,,14,outside,search field
long_press input,long_press,input,,,21,first_row,
pl3ase check slider,check,slider,,,52,lower_center,
삭제 link,delete,link,,login,,second_row,filter button
i think check popup,check,popup,,,9,before,remove button
지우세요 table,delete,table,,,98,third,
dnpin calendar,unpin,calendar,underlined,refresh,10,next_to,
cax you draz inp0t,drag,input,collapsed,submit,73,first_row,
check dropdown,check,dropdown,,,18,center_right,export button
drag notification,drag,notification,,,21,last,profile icon
accept document,accept,document,highlighted,,67,bottom_right,save button
drag notification,drag,notification,,,26,below,cart icon
check audio,check,audio,,confirm,,first_row,
확인하세요 search_box,submit,search_box,,back,,before,share button
please accept chart,accept,chart,,login,94,nearest,sort button
unpin slider,unpin,slider,danger,confirm,17,next_to,
i think can you check card,check,card,large,import,96,top_right,password field
logen the phone_number,login,phone_number,,notification,47,last,
launch image,launch,image,,loading,,top_right,
삭제 file,delete,file,highlighted,loading,44,farthest,download button
close switch,close,switch,,info,12,second,footer
please close password,close,password,,,17,second_row,
unpin 아이콘,unpin,icon,blue,share,30,under,card list
accept dialog,accept,dialog,small,info,34,left_edge,chart view
can you unpin graph,unpin,graph,,export,15,outside,
maybe launch the radio_button,launch,radio_button,,sort,,next_to,
close gallery,close,gallery,yellow,email,93,center,
launch add,launch,tab,,add,13,farthest,
삭제해 notification,delete,notification,active,,,nearest,
accept dialog,accept,dialog,disabled,,79,second,
drag 아이콘,drag,icon,active,password,,left,
unpin password,unpin,password,warning,,,inside,submit button
close message,close,message,,,,last,
check audio,check,audio,info,,,right_edge,share button
login the card,login,card,disabled,address,56,lower_center,
drag 입력,drag,input,underlined,,51,last_column,filter button
drag the file,drag,file,expanded,,3,after,
전송 card,submit,card,light,success,,bottom_left,
제출 search_box,submit,search_box,green,,92,under,
check inpu7,check,input,,,92,in_front_of,
close card,close,card,,,82,last,
delete checkbox,delete,checkbox,,,19,between,export button
check the search_box,check,search_box,,,22,center_right,
check 아이콘,check,icon,,logout,58,first_row,download button
drag the checkb1x,drag,checkbox,strikethrough,edit,57,between,popup
drag the link,drag,link,,profile,,bottom_right,password field
login dialog,login,dialog,yellow,,,nearest,
can you check dab,check,tab,,ok,94,above,
drag 아이콘,drag,icon,red,,54,after,
accept 입력,accept,input,focused,,71,right_edge,
unpin popup,unpin,popup,small,,18,bottom_right,search field
accept card,accept,card,blue,,,behind,cancel button
accept chart,accept,chart,dark,logout,,first_column,
close switch,close,switch,small,notification,31,first_column,menu button
launch th3 search_box,launch,search_box,expanded,warning,18,center,image gallery
accekt phone_number,accept,phone_number,,alert,88,last_column,table view
accept slider,accept,slider,disabled,previous,19,third,upload button
long_press file,long_press,file,danger,next,,right_edge,cart icon
drag chart,drag,chart,,home,29,first_row,
delete the slider,delete,slider,focused,delete,38,farthest,
unpin dropdown,unpin,dropdown,,filter,,behind,
지우세요 radio_button,delete,radio_button,,,,first_column,
please long_press message,long_press,message,large,,,behind,
unpin tab,unpin,tab,,,76,second_last,
please check text,check,text,,cancel,90,under,map view
drag image,drag,image,,,63,above,
삭제해 radio_button,delete,radio_button,blue,export,44,right_edge,
check phone_number,check,phone_number,blue,,20,outside,
unpin table,unpin,table,,,,bottom_left,
can you unpin graph,unpin,graph,red,,62,above,submit button
please login menu,login,menu,active,,25,third,
drag gallery,drag,gallery,primary,,66,outside,modal
close table,close,table,,,,nearest,
accept the link,accept,link,focused,profile,,bottom_left,
close chart,close,chart,,error,62,outside,
please accept calendar,accept,calendar,expanded,,0,second_row,
accept on table,accept,table,,,,bottom_right,remove button
delete on image,delete,image,warning,,,first_row,footer
chec2 rhe progress_bar,check,progress_bar,secondary,,,outside,
long_press gallery,long_press,gallery,red,,,lower_center,
check 입력,check,input,strikethrough,,84,first_row,
check message,check,message,,login,93,right_edge,image gallery
chhck checkbo2,check,checkbox,,,5,after,download button
long_press graph,long_press,graph,,back,87,farthest,
delete the progress_bar,delete,progress_bar,secondary,profile,,center_right,
check image,check,image,secondary,,,above,home button
please launch dropdown,launch,dropdown,italic,,,center,
check the p@ssword,check,password,,,98,behind,video player
check gallery,check,gallery,highlighted,submit,,under,save button
login link,login,link,focused,submit,1,first_row,calendar view
long_press graph,long_press,graph,secondary,,55,left_edge,notification panel
launch radio_button,launch,radio_button,,,82,farthest,
check the imagp,check,image,danger,,78,last_column,remove button
long_press menu,long_press,menu,small,upload,60,second_row,audio player
launch slider,launch,slider,italic,,57,center_right,share button
please drag table,drag,table,active,logout,48,outside,
please accept text,accept,text,,error,68,center,
please close menu,close,menu,,,13,second_row,
you know please close slider,close,slider,focused,,16,between,
close file,close,file,,,,below,
you know close the text,close,text,,,42,first_column,
accept password,accept,password,,,,in_front_of,
launch audio,launch,audio,small,alert,,outside,
unpin calendar,unpin,calendar,primary,back,,third,modal
close camera,close,camera,small,submit,62,left,
launch the progress_bar,launch,progress_bar,active,,26,second_row,calendar view
can you launch document,launch,document,secondary,,51,left,
long_press dropdown,long_press,dropdown,,,,second_row,
please check input,check,input,blue,settings,53,top_right,
drag radio_button,drag,radio_button,danger,,,bottom_left,
long_press the red progress_bar,long_press,progress_bar,red,,29,second,
long_press calendar,long_press,calendar,,success,,second_last,
drag image,drag,image,,,47,second_row,
check popup,check,popup,secondary,,21,above,
accept dialog,accept,dialog,,,39,next_to,image gallery
delete the icon,delete,icon,focused,notification,61,between,
drag message,drag,message,,,,farthest,
drag the table,drag,table,primary,,,nearest,top navigation
close table,close,table,,,77,farthest,
long_press ghe dialog,long_press,dialog,green,,96,below,card list
unpin the checkbox,unpin,checkbox,red,,84,left_edge,
long_press text,long_press,text,,add,18,behind,password field
unpin card,unpin,card,bold,profile,91,bottom_right,cancel button
actually delete the slider,delete,slider,primary,save,79,after,search field
please check icon,check,icon,,register,30,farthest,
long_press password,long_press,password,,search,21,before,remove button
check icon,check,icon,warning,,14,below,
accept card,accept,card,,,,after,
close the password,close,password,expanded,save,64,first_row,
accept image,accept,image,,,,center,
check camera,check,camera,light,,,before,
long_press link,long_press,link,,settings,,lower_center,
close chart,close,chart,blue,notification,49,bottom_right,
please lorin password,login,password,warning,,,inside,
please login gallery,login,gallery,info,,,inside,audio player
check 아이콘,check,icon,,save,50,above,
you know login the link,login,link,,,92,last,add button
close search_box,close,search_box,collapsed,,63,second,
pleaxe unpin 1raph,unpin,graph,,,26,bottom_left,
please accept slider,accept,slider,small,,,first_row,
please check chart,check,chart,,ok,22,first_column,add button
i think close password,close,password,danger,confirm,44,left_edge,
close 입력,close,input,,error,69,outside,
long_press the dropdown,long_press,dropdown,,remove,28,right_edge,
close menu,close,menu,,,,third,audio player
long_press document,long_press,document,secondary,next,87,top_right,calendar view
drag radio_button,drag,radio_button,red,,42,inside,
check che text,check,text,,back,,center_right,
accept card,accept,card,,success,42,first_column,
accept slider,accept,slider,,,31,right_edge,
drag notification,drag,notification,,upload,75,inside,
login search_box,login,search_box,,export,13,farthest,cancel button
launch link,launch,link,,,,farthest,image gallery
unpin camera,unpin,camera,,retry,55,below,
long_press graph,long_press,graph,info,,33,top_right,back button
제출 card,submit,card,,download,85,center,
check calendar,check,calendar,,edit,11,lower_center,main content
uh leaf the switch,delete,switch,info,,5,behind,top navigation
전송 radio_button,submit,radio_button,green,import,,first_row,top navigation
unpin 아이콘,unpin,icon,,address,83,between,top navigation
can you delete checkbox,delete,checkbox,small,add,88,before,
just accept the calendar,accept,calendar,,,,first_column,
전송 dropdown,submit,dropdown,,export,,between,cancel button
check the tab,check,tab,,,98,left,
close menu,close,menu,,,11,second_row,
drag graph,drag,graph,,,33,first_row,delete button
check the imdge,check,image,italic,back,21,in_front_of,
지우세요 table,delete,table,,back,7,after,
please long_press calendar,long_press,calendar,bold,,28,left,
long_press notification,long_press,notification,light,search,78,left_edge,
can you accept camera,accept,camera,,,6,last,filter button
launch the tab,launch,tab,,,18,second_row,refresh button
long_press tab,long_press,tab,success,login,19,inside,
지우세요 table,delete,table,,empty,,above,
accept the calendar,accept,calendar,collapsed,,88,farthest,
delete the chart,delete,chart,collapsed,notification,76,second,
accept on input,accept,input,,search,39,lower_center,
accept graph,accept,graph,blue,message,,above,
can you drag image,drag,image,,login,17,outside,table view
please check gallery,check,gallery,warning,,99,inside,
close switch,close,switch,,address,4,right_edge,
can you drag calendar,drag,calendar,expanded,,96,last,
accept camera,accept,camera,warning,,,last_column,address field
long_press icon,long_press,icon,bold,,,center_right,
please unpin radio_button,unpin,radio_button,success,password,,center_right,
long_press table,long_press,table,,,55,second_last,
제출 file,submit,file,,,,above,notification panel
close the input,close,input,,,99,center,
close the input,close,input,disabled,,13,under,
accept calendar,accept,calendar,,confirm,94,under,cart icon
long_press the slider,long_press,slider,,,56,second,image gallery
delet notification,delete,notification,large,delete,30,second,
can you launch radio_button,launch,radio_button,,,79,third,
long_press camera,long_press,camera,collapsed,,46,last_column,
지우세요 입력,delete,input,disabled,,,top_right,
제출 file,submit,file,,,59,center,
close the radio_button,close,radio_button,large,,25,second,
please c|ose table,close,table,,,20,below,search field
제출 radio_button,submit,radio_button,strikethrough,,,last,map view
login table,login,table,,password,16,lower_center,
drag text,drag,text,small,success,66,behind,
plwase launch menu,launch,menu,,info,40,under,menu button
unpin the switch,unpin,switch,,,9,first_column,
accept document,accept,document,focused,,,third,
drag password,drag,password,,,26,center,header
drag on tab,drag,tab,,,,next_to,
accept the dropdown,accept,dropdown,small,submit,80,third,search bar
lfunch icon,launch,icon,highlighted,,47,next_to,
close document,close,document,info,,52,third,
can you close notification,close,notification,disabled,delete,88,center,
long_press message,long_press,message,,profile,53,bottom_left,
delete chart,delete,chart,,,,above,header
accept the audio,accept,audio,primary,address,,lower_center,
check graph,check,graph,,,74,left,
check progress_bar,check,progress_bar,,warning,,behind,dialog box
launch slider,launch,slider,highlighted,,92,bottom_right,
지우세요 체크박스,delete,checkbox,active,warning,35,after,
long_press switch,long_press,switch,small,add,,right_edge,
제출 radio_button,submit,radio_button,,logout,61,center_right,share button
can you long_press camera,long_press,camera,collapsed,,66,lower_center,
can you delete search_box,delete,search_box,danger,warning,17,below,card list
check menu,check,menu,disabled,info,83,between,upload button
close on input,close,input,,,25,inside,
check phone_number,check,phone_number,light,,65,lower_center,
삭제해 image,delete,image,,,96,lower_center,
accept audio,accept,audio,expanded,,,next_to,refresh button
unpin gallery,unpin,gallery,focused,,16,third,
please unpin text,unpin,text,underlined,email,90,first_column,
launch menu,launch,menu,bold,,87,in_front_of,
check image,check,image,,register,62,next_to,
please ciose card,close,card,,,62,third,
login tae doc1ment,login,document,,download,66,last,
can you login message,login,message,underlined,add,52,above,
check 체크박스,check,checkbox,large,,62,last,download button
drao the card,drag,card,,,44,below,
login text,login,text,,home,17,second_last,table view
long_press phone_number,long_press,phone_number,,sort,,first_column,
unpin text,unpin,text,,,77,last,
check image,check,image,dark,,,behind,
close menu,close,menu,primary,back,94,last,
accept popup,accept,popup,primary,,77,bottom_right,address field
지우세요 slider,delete,slider,success,warning,2,left,dialog box
accept the input,accept,input,disabled,,11,second_row,notification panel
check file,check,file,secondary,import,,right_edge,delete button
unpin phone_number,unpin,phone_number,,import,12,farthest,upload button
check notification,check,notification,,,,first_row,cancel button
login 입력,login,input,success,,67,farthest,
like delete dropdown,delete,dropdown,,,90,bottom_right,
drag imag3,drag,image,green,,14,center_right,
login the text,login,text,active,delete,,left_edge,menu button
삭제 audio,delete,audio,bold,previous,,before,
can you long_press dropdown,long_press,dropdown,,remove,18,second,
launch the camera,launch,camera,,error,90,first_column,
check dropdown,check,dropdown,bold,,81,before,
delete notification,delete,notification,,,,before,
please lobin documenp,login,document,primary,,53,center,
actually unpin the table,unpin,table,blue,,63,below,
check on menu,check,menu,info,,,third,
check icon,check,icon,italic,,,under,notification panel
accept tle focused password,accept,password,focused,,,third,
accept tab,accept,tab,highlighted,,18,top_right,home button
accept notification,accept,notification,,,67,next_to,sort button
check the message,check,message,green,previous,,first_column,save button
drag switch,drag,switch,,,,above,
please long_press password,long_press,password,,confirm,68,center,calendar view
check card,check,card,,import,24,last,save button
지우세요 document,delete,document,active,refresh,5,under,map view
check checkbox,check,checkbox,,,43,bottom_left,header
long_press audio,long_press,audio,disabled,,,before,
close image,close,image,secondary,,72,third,
login calendar,login,calendar,red,error,21,second,
uh leaf graph,delete,graph,success,alert,58,after,settings button
close tab,close,tab,,submit,41,left,phone field
drag the link,drag,link,disabled,previous,78,under,remove button
close radio_button,close,radio_button,danger,,,behind,
delete the checkbox,delete,checkbox,,,,next_to,dialog box
close 입력,close,input,,error,65,right_edge,sort button
clo5e the chart,close,chart,italic,download,26,between,notification panel
launch search_box,launch,search_box,small,,2,under,calendar view
delete audio,delete,audio,green,empty,65,nearest,chart view
check document,check,document,,phone,21,next_to,
accept audio,accept,audio,strikethrough,,5,center,card list
launch popup,launch,popup,dark,,47,in_front_of,calendar view
close menu,close,menu,,,,between,
can you close file,close,file,,,90,last,
drag 입력,drag,input,,,53,before,
unpin 아이콘,unpin,icon,disabled,,95,bottom_left,
close 체크박스,close,checkbox,focused,,,below,
long_press text,long_press,text,,address,82,last,
삭제 radio_button,delete,radio_button,danger,,52,behind,sort button
launch phone_number,launch,phone_number,,password,73,left_edge,
launch the red notification,launch,notification,red,success,,first_row,
unpin calendar,unpin,calendar,,profile,,bottom_right,save button
i think check the link,check,link,strikethrough,previous,10,farthest,chart view
drag the chart,drag,chart,,,77,last,
close slider,close,slider,focused,upload,88,under,
unpin the chart,unpin,chart,,save,,under,submit button
please login audio,login,audio,strikethrough,error,39,top_right,
accept audio,accept,audio,,,15,below,card list
login menu,login,menu,,download,35,between,message field
drag tab,drag,tab,collapsed,,29,between,
long_press document,long_press,document,,,37,above,map view
accept text,accept,text,,edit,2,below,phone field
login card,login,card,blue,alert,77,in_front_of,
launch notification,launch,notification,,settings,,left,export button
close radio_button,close,radio_button,underlined,retry,,right_edge,phone field
accept calendar,accept,calendar,,warning,,below,table view
long_press slider,long_press,slider,,,54,last,
delete the slider,delete,slider,italic,,83,outside,
please long_press search_box,long_press,search_box,,warning,46,inside,audio player
check fil3,check,file,,,,first_column,
check the audio,check,audio,,,30,nearest,calendar view
drag 아이콘,drag,icon,italic,empty,,next_to,
can you launch phone_number,launch,phone_number,red,password,34,between,
long_press on tab,long_press,tab,large,,60,between,
long_press 입력,long_press,input,small,back,,under,sidebar menu
unpin password,unpin,password,yellow,previous,74,left,card list
long_prrss on audio,long_press,audio,success,confirm,,lower_center,
long_press dialog,long_press,dialog,,,45,between,submit button
drag image,drag,image,highlighted,share,,nearest,
can you close menu,close,menu,,,66,left,
close on popup,close,popup,success,,71,before,settings button
launch input,launch,input,,,,above,
5ubmit the dropdown,submit,dropdown,,remove,,third,
delete the text,delete,text,expanded,,96,left,email field
i think accept the menu,accept,menu,,upload,57,left_edge,
drag table,drag,table,highlighted,,54,between,
long_press calendar,long_press,calendar,,,93,in_front_of,search bar
please login file,login,file,dark,,,first_row,
check dropdown,check,dropdown,,,92,nearest,video player
close link,close,link,success,retry,83,left,
close the image,close,image,,,91,nearest,footer
launch the card,launch,card,,error,,in_front_of,cancel button
accept 아이콘,accept,icon,info,confirm,53,second_row,
please long_press notification,long_press,notification,,,,left_edge,
launch audio,launch,audio,highlighted,search,,second_last,
check the icon,check,icon,collapsed,submit,66,last_column,
can you login card,login,card,,success,27,bottom_right,
login switch,login,switch,,phone,,third,
close switch,close,switch,,filter,64,first_row,
제출 notification,submit,notification,focused,,,right_edge,add button
unpin text,unpin,text,,next,99,center_right,export button
long_press the search_box that is in_front_of the export button,long_press,search_box,,notification,41,in_front_of,export button
check chart,check,chart,,,86,third,audio player
daunch inp0t,launch,input,,download,,before,
accept the search_box,accept,search_box,blue,,34,center_right,
삭제해 file,delete,file,,refresh,14,inside,
drag graph,drag,graph,small,register,75,first_column,
drag camera,drag,camera,disabled,,,second_last,
submit the file,submit,file,dark,address,61,second,share button
long_press progress_bar,long_press,progress_bar,expanded,,,first_row,
check 체크박스,check,checkbox,blue,info,78,first_row,
accept search_box,accept,search_box,,,16,first_row,
please 1ogin audio,login,audio,italic,,7,second_row,add button
accept text,accept,text,success,,3,left_edge,
long_press message,long_press,message,active,address,97,second_last,
drag dialog,drag,dialog,disabled,,,first_column,
long_press search_box,long_press,search_box,,,44,last_column,import button
drag the tab,drag,tab,,,54,first_column,audio player
delete the table,delete,table,italic,,,below,
login the phone_number,login,phone_number,active,profile,85,inside,filter button
close menu,close,menu,,,35,bottom_right,
close slider,close,slider,,,26,under,footer
지우세요 message,delete,message,,profile,23,before,
unpin phone_number,unpin,phone_number,green,,40,third,
accept file,accept,file,active,,99,center_right,home button
pmease longppress image,long_press,image,large,,,left_edge,cancel button
please long_press file,long_press,file,active,filter,,left,
지우세요 camera,delete,camera,red,,61,left,main content
login th9 table,login,table,primary,email,60,in_front_of,cart icon
maybe login phone_number,login,phone_number,primary,,99,nearest,edit button
clsse image,close,image,blue,,5,last_column,footer
accept password,accept,password,,retry,74,after,
unpin calendar,unpin,calendar,success,,44,first_column,
accept calendar,accept,calendar,highlighted,message,64,farthest,
long_press search_box,long_press,search_box,,,,above,map view
launch link,launch,link,bold,ok,,between,download button
launch 아이콘,launch,icon,italic,,,third,
close menu,close,menu,,previous,,farthest,refresh button
can you launch dialog,launch,dialog,collapsed,,43,second,upload button
launch notification,launch,notification,,,95,last_column,
launch radio_button,launch,radio_button,collapsed,delete,,next_to,
launch tab,launch,tab,,,58,between,
unpin 아이콘,unpin,icon,,password,56,right_edge,
delete link,delete,link,,download,,bottom_right,popup
launch the card,launch,card,,,34,second_row,
accept file,accept,file,,,12,third,header
just please close dropdown,close,dropdown,small,,67,last,message field
launch chart,launch,chart,underlined,save,,second,
launch the message,launch,message,,,20,bottom_right,
close notification,close,notification,disabled,password,17,above,export button
accept phone_number,accept,phone_number,dark,,,above,
drag link,drag,link,danger,,32,first_column,email field
accept tab,accept,tab,small,,99,before,
drag the camera,drag,camera,secondary,,20,above,table view
check mess@ge,check,message,disabled,info,29,last_column,top navigation
accept 체크박스,accept,checkbox,,import,2,second_row,download button
like unpin the calendar,unpin,calendar,,,3,last_column,search field
unpin radio_button,unpin,radio_button,primary,,,last_column,
delete audio,delete,audio,yellow,,44,in_front_of,save button
login notification,login,notification,danger,,40,after,
i think drag image,drag,image,expanded,previous,67,under,
please delete audio,delete,audio,danger,notification,10,center_right,address field
drag card,drag,card,warning,,94,bottom_left,
check notification,check,notification,focused,remove,,between,settings button
unpin 아이콘,unpin,icon,,cancel,91,last,upload button
삭제 image,delete,image,highlighted,,81,first_column,notification panel
login popup,login,popup,,error,26,first_row,main content
long_press 입력,long_press,input,red,,,nearest,
launch notification,launch,notification,dark,back,33,second_row,
지우세요 tab,delete,tab,red,,4,second_row,image gallery
launch slider,launch,slider,expanded,download,23,outside,
login the card,login,card,,,89,last,
drag phone_number,drag,phone_number,focused,back,13,next_to,add button
check the slider,check,slider,,,98,after,calendar view
actually delete the image,delete,image,collapsed,,60,lower_center,
unpin message,unpin,message,strikethrough,,13,behind,email field
check link,check,link,underlined,,16,nearest,footer
accept switch,accept,switch,disabled,,15,above,remove button
launch card,launch,card,,password,36,last_column,sort button
launch file,launch,file,,,,below,
launch the dropdown,launch,dropdown,,error,47,inside,footer
login graph,login,graph,,,,second,
drag progress_bar,drag,progress_bar,yellow,,96,last,
unpin image,unpin,image,red,upload,32,left_edge,
drag card,drag,card,,delete,50,first_row,
unpin the tab,unpin,tab,strikethrough,login,,last,edit button
unpin the dialog,unpin,dialog,collapsed,error,38,second_row,
전송 text,submit,text,danger,,14,behind,chart view
login the audio,login,audio,blue,sort,89,behind,import button
accept the card,accept,card,highlighted,,90,bottom_left,address field
check calendar,check,calendar,red,,4,lower_center,map view
drag gallery,drag,gallery,,,51,center_right,
accept password,accept,password,,,51,farthest,
delete the icon,delete,icon,success,,92,under,
login dialog,login,dialog,bold,password,,lower_center,main content
check the link,check,link,active,loading,0,before,video player
close dialog,close,dialog,small,,,before,
please long_press text,long_press,text,highlighted,success,17,left,sort button
launch chart,launch,chart,,cancel,,right_edge,
check the imyge,check,image,bold,empty,26,second_row,import button
삭제 image,delete,image,disabled,confirm,56,second_last,
check calendar,check,calendar,,,70,second,sidebar menu
check notification,check,notification,,,,next_to,
please unpin card,unpin,card,info,notification,68,first_column,
삭제해 체크박스,delete,checkbox,,,25,second_last,modal
login tab,login,tab,disabled,next,34,bottom_left,modal
long_press the text,long_press,text,strikethrough,,59,first_column,
drag gallery,drag,gallery,,,61,third,
drag the password,drag,password,,empty,91,top_right,search bar
accept notification,accept,notification,info,logout,69,right_edge,footer
accept image,accept,image,,,16,first_column,edit button
submit notification,submit,notification,,,70,next_to,
can you login imput,login,input,active,notification,,first_column,download button
please launch phart,launch,chart,red,,66,farthest,
login the popup,login,popup,,,,farthest,edit button
drah on gallery,drag,gallery,,login,42,bottom_right,download button
please launch slider,launch,slider,strikethrough,notification,83,left,add button
전송 file,submit,file,secondary,,36,center_right,
launch the tab,launch,tab,,,79,second_row,
drag menu,drag,menu,underlined,,,left,map view
delete message,delete,message,secondary,loading,,right_edge,search field
launch the password,launch,password,collapsed,,50,left,
long_press the camera,long_press,camera,,,17,last,delete button
login tab,login,tab,,,59,second,
삭제해 image,delete,image,success,,,last_column,
close popup,close,popup,,,,second_last,
